Country Name,Country Code,Indicator Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"Egypt, Arab Rep.",EGY,Gini index,30.2,30.2,28.3,28.3,31.8,31.8,31.8,31.5,31.5,31.9,31.9,31.9,31.9,31.9
Eritrea,ERI,Gini index,63.4,63.4,63.4,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0
Spain,ESP,Gini index,35.2,35.7,35.4,36.2,36.1,36.2,35.8,34.7,34.7,34.3,34.9,33.9,33.9,33.9
Estonia,EST,Gini index,32.0,32.5,32.9,35.1,34.6,32.7,31.2,30.4,30.3,30.8,30.7,31.8,31.8,31.8
Ethiopia,ETH,Gini index,33.2,33.2,33.2,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0
Finland,FIN,Gini index,27.7,27.6,27.1,27.2,26.8,27.1,27.1,27.4,27.3,27.7,27.1,27.7,27.7,27.7
Fiji,FJI,Gini index,36.7,36.7,36.7,36.7,36.7,36.7,36.7,30.7,30.7,30.7,30.7,30.7,30.7,30.7
France,FRA,Gini index,33.7,33.3,33.1,32.5,32.3,32.7,31.9,31.6,32.4,31.2,30.7,31.5,31.5,31.5
Gabon,GAB,Gini index,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
United Kingdom,GBR,Gini index,33.7,33.2,33.1,32.7,33.1,33.3,33.1,32.6,33.7,32.8,32.6,32.4,32.4,32.4
Georgia,GEO,Gini index,39.5,39.6,39.0,38.6,37.6,36.5,36.6,37.9,36.4,35.9,34.5,34.2,34.2,34.2
Ghana,GHA,Gini index,42.4,42.4,42.4,42.4,42.4,43.5,43.5,43.5,43.5,43.5,43.5,43.5,43.5,43.5
Guinea,GIN,Gini index,33.7,33.7,33.7,33.7,33.7,33.7,29.6,29.6,29.6,29.6,29.6,29.6,29.6,29.6
"Gambia, The",GMB,Gini index,43.6,43.6,43.6,35.9,35.9,35.9,35.9,35.9,38.8,38.8,38.8,38.8,38.8,38.8
Guinea-Bissau,GNB,Gini index,50.7,50.7,50.7,50.7,50.7,34.8,34.8,34.8,34.8,34.8,33.4,33.4,33.4,33.4
Equatorial Guinea,GNQ,Gini index,63.4,63.4,63.4,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0
Greece,GRC,Gini index,34.1,34.8,36.3,36.1,35.8,36.0,35.0,34.4,32.9,33.1,33.6,32.9,32.9,32.9
Guatemala,GTM,Gini index,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3
Guyana,GUY,Gini index,63.4,63.4,63.4,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0
"Hong Kong SAR, China",HKG,Gini index,63.4,63.4,63.4,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0
Honduras,HND,Gini index,53.1,52.6,53.4,50.0,49.9,49.2,49.8,49.4,48.9,48.2,48.2,48.2,48.2,48.2
Croatia,HRV,Gini index,32.4,32.3,32.5,32.0,32.1,31.1,30.9,30.4,29.7,28.9,29.5,28.9,28.9,28.9
Haiti,HTI,Gini index,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1
Hungary,HUN,Gini index,29.4,29.2,30.8,31.5,30.9,30.4,30.3,30.6,29.6,30.0,29.7,29.2,29.2,29.2
Indonesia,IDN,Gini index,37.2,40.5,40.5,40.8,40.2,40.4,39.3,38.8,38.4,37.6,37.6,37.9,37.9,38.3
India,IND,Gini index,35.4,35.4,35.4,35.4,34.7,34.7,34.7,35.9,34.5,33.8,33.8,32.8,32.8,32.8
Ireland,IRL,Gini index,32.3,32.9,33.2,33.5,31.9,31.8,32.8,31.4,30.6,30.8,29.2,30.1,30.1,30.1
"Iran, Islamic Rep.",IRN,Gini index,34.7,34.7,34.4,34.0,34.8,35.3,35.9,36.7,37.4,36.5,35.8,35.5,34.8,34.8
Iraq,IRQ,Gini index,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5
Iceland,ISL,Gini index,26.2,26.8,26.8,25.4,27.8,26.8,27.2,26.1,26.1,26.1,26.1,26.1,26.1,26.1
Israel,ISR,Gini index,42.6,41.4,41.3,39.9,39.8,39.7,39.0,38.2,38.6,38.3,37.8,37.9,37.9,37.9
Italy,ITA,Gini index,34.7,35.1,35.2,34.9,34.7,35.4,35.2,35.9,35.2,34.6,35.2,34.8,34.8,34.8
