CountryOfOrigin,Continent,FarmName,Altitude,Region,Producer,Variety,ProcessingMethod,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,CleanCup,Sweetness,Overall,TotalCupPoints,MoisturePercentage
Taiwan,Asia,他扶芽有機農園,1060,Chiayi,陳清龍,Gesha,Natural / Dry,8.0,8.0,8.0,7.92,7.75,7.92,10.0,10.0,10.0,7.92,85.5,10.2
United States (Hawaii),North America,Hokukano Ranch,600,Kona,Kona Hills LLC,Typica,Washed / Wet,8.0,7.92,8.0,7.83,7.67,8.0,10.0,10.0,10.0,8.0,85.42,9.3
Taiwan,Asia,鄉庭有機農場Siang-Ting Organic Farm,200,壽豐鄉Shoufeng Township,張進義Zhang Jin-Yi,Typica,Washed / Wet,8.0,8.0,7.83,7.83,7.75,7.92,10.0,10.0,10.0,8.08,85.42,11.4
Taiwan,Asia,鄉庭有機農場Siang-Ting Organic Farm,200,壽豐鄉Shoufeng Township,張進義Zhang Jin-Yi,Typica,Washed / Wet,7.92,8.0,7.83,7.92,7.83,7.83,10.0,10.0,10.0,8.0,85.33,10.8
Taiwan,Asia,金讚咖啡農莊園(Jinzan Coffee Estate),668,"Dongshan Dist., Tainan City","葉明讚 (YE,MING-ZAN)",Gesha,Washed / Wet,8.08,8.17,7.67,7.83,7.67,7.92,10.0,10.0,10.0,8.0,85.33,11.3
Ethiopia,Africa,Eshetu farm,1950,Oromia,Eshetu,Ethiopian Heirlooms,Washed / Wet,7.67,7.83,7.83,8.0,8.0,8.0,10.0,10.0,10.0,8.0,85.33,9.9
Ethiopia,Africa,Uraga Bisrat washing station,2250,Southern Ethiopia Guji,Bisrat Melaku,Ethiopian Heirlooms,Natural / Dry,8.0,8.08,8.0,8.0,7.67,7.75,10.0,10.0,10.0,7.83,85.33,12.3
Ethiopia,Africa,YHAENU PLC FARM,1700,OROMIA,YHAENU PLC,Ethiopian Heirlooms,Washed / Wet,7.92,7.75,7.83,8.17,8.0,7.75,10.0,10.0,10.0,7.83,85.25,9.4
Taiwan,Asia,卓武山咖啡農場,1200,Chiayi,許定燁,Gesha,Washed / Wet,8.0,7.92,7.83,7.92,7.83,7.83,10.0,10.0,10.0,7.92,85.25,9.5
Taiwan,Asia,御香咖啡園 YU SIANG Coffee Estate,650,"Dongshan Dist., Tainan City","陳建源(CHEN, JIAN-YUAN)",Gesha,Pulped natural / honey,8.25,8.08,7.83,7.75,7.67,7.75,10.0,10.0,10.0,7.92,85.25,11.3
Kenya,Africa,Small Holder,1750,Central,Small Holder,SL28,Washed / Wet,8.17,7.75,7.83,7.58,7.92,8.0,10.0,10.0,10.0,8.0,85.25,9.2
Taiwan,Asia,皇庭咖啡莊園,850,"Caoling , Gukeng Township, Yunlin County",陳榮豐,Gesha,Washed / Wet,7.75,7.92,7.75,8.0,7.83,7.92,10.0,10.0,10.0,8.0,85.17,10.3
Taiwan,Asia,花蓮縣秀林鄉特用作物（咖啡）產銷第一班Agriculture Production and Marketing Groups of Hualien Shlin township special crop (coffee) 1st class,400,秀林鄉Show Linxia Township,李志祥 Li Zhi-xia,Typica,Natural / Dry,8.0,7.92,7.83,7.92,7.75,7.75,10.0,10.0,10.0,7.92,85.08,10.0
Taiwan,Asia,八一高地,1000,台灣屏東,陳科翰,Typica,Washed / Wet,8.0,8.08,7.67,7.75,7.92,7.83,10.0,10.0,10.0,7.83,85.08,10.5
Taiwan,Asia,香夾蘭莊園,800,苗栗縣,黃簡秋蘭,Gesha,Washed / Wet,8.0,7.92,7.67,8.0,7.75,7.83,10.0,10.0,10.0,7.92,85.08,10.0
Uganda,Africa,Gideon Kule,1905,Rwenzori,Kyagalanyi coffee limited,SL14,Washed / Wet,8.0,7.92,7.75,7.75,7.75,7.92,10.0,10.0,10.0,7.92,85.0,11.0
Taiwan,Asia,愛姬咖啡莊園iGfarm,150,壽豐鄉Shoufeng Township,劉孟宗 LIU MENG TSUNG,Typica,,7.92,8.0,7.92,8.0,7.58,7.75,10.0,10.0,10.0,7.83,85.0,10.9
Taiwan,Asia,青山坪咖啡農場,800,Yunlin,王清連,Gesha,Natural / Dry,8.17,8.08,7.83,7.67,7.67,7.75,10.0,10.0,10.0,7.83,85.0,10.1
Guatemala,North America,varias fincas,1600,Antigua,Varios productores,Caturra,Washed / Wet,7.67,8.08,7.67,8.0,7.92,7.83,10.0,10.0,10.0,7.83,85.0,9.9
Guatemala,North America,san francisco cotzal,1600,quiche,san francisco cotzal,Caturra,Washed / Wet,7.83,7.92,7.75,8.0,7.75,7.75,10.0,10.0,10.0,7.92,84.92,11.7
Taiwan,Asia,六曲窩,375,新竹縣,黃俊淦,Typica,Washed / Wet,7.92,7.92,7.83,7.83,7.75,7.83,10.0,10.0,10.0,7.83,84.92,9.5
Taiwan,Asia,北平山林,230,新竹縣,戴禎男,Yellow Bourbon,Natural / Dry,8.0,8.0,7.75,7.75,7.67,7.75,10.0,10.0,10.0,7.92,84.83,9.7
Indonesia,Asia,PT Indo CafCo North Sumatera,1200,Aceh Tengah,PT Indo CafCo North Sumatera,Catimor,,7.83,7.92,7.75,7.83,7.83,7.83,10.0,10.0,10.0,7.83,84.83,11.9
Peru,South America,Ruya Yayu Farm,1750,Villa Rica,Ruya Yayu,Gesha,Washed / Wet,8.0,8.0,7.83,7.83,7.58,7.83,10.0,10.0,10.0,7.75,84.83,10.7
"Tanzania, United Republic Of",Africa,IYENGA,1654,Mbeya,IYENGA AMCOS,Bourbon,Washed / Wet,7.92,7.75,7.75,7.92,7.83,7.83,10.0,10.0,10.0,7.83,84.83,11.2
Taiwan,Asia,優遊吧斯瑪翡咖啡莊園,1300,Chiayi,鄭虞坪,SL34,Natural / Dry,7.83,7.83,7.67,7.67,7.83,8.0,10.0,10.0,10.0,8.0,84.83,9.5
Taiwan,Asia,森悅高峰咖啡莊園,1400,Nantou,吳振宏,SL34,Washed / Wet,7.67,7.92,7.92,7.83,7.75,7.83,10.0,10.0,10.0,7.83,84.75,10.4
Brazil,South America,Fazenda Guariroba,1100,Campo das Vertentes,Homero Paiva,Yellow Bourbon,Double Carbonic Maceration / Natural,7.83,7.92,7.75,7.92,7.67,7.83,10.0,10.0,10.0,7.83,84.75,11.2
Panama,North America,La Santa,1200,Boquete,La Santa,Catuai,Washed / Wet,7.83,7.83,7.75,7.92,7.83,7.75,10.0,10.0,10.0,7.83,84.75,10.3
Taiwan,Asia,嵐雲綠海咖啡,1200,台灣屏東,卓榮華,Yellow Bourbon,Pulped natural / honey,7.92,8.08,7.67,7.92,7.67,7.75,10.0,10.0,10.0,7.75,84.75,10.0
Guatemala,North America,Varias Fincas,1600,Huehuetenango,Varios Productores,Caturra,Washed / Wet,7.67,8.0,7.67,7.83,7.92,7.67,10.0,10.0,10.0,7.92,84.67,10.6
Costa Rica,North America,Gamboa Farm,1850,Tarrazu,Martin Gutierrez,Caturra,Washed / Wet,7.58,7.83,7.5,7.67,7.83,7.67,10.0,10.0,10.0,8.58,84.67,10.0
Taiwan,Asia,羅馬8號莊園,250,新竹縣,羅政宏,Typica,Pulped natural / honey,7.83,7.83,7.75,7.75,7.75,7.75,10.0,10.0,10.0,7.92,84.58,9.6
Taiwan,Asia,大鋤花間(Dachu Coffee Estate),700,"( Dongshan Dist., Tainan City)","郭雅聰（KUO,YA-TSUNG）",Gesha,Pulped natural / honey,8.17,7.83,7.67,7.83,7.67,7.67,10.0,10.0,10.0,7.75,84.58,11.5
Nicaragua,North America,Finca Las Dos Marias,1350,ESTELI,NicaNoLA Coffee,Catrenic,Natural / Dry,7.92,7.75,7.67,7.67,7.83,7.75,10.0,10.0,10.0,8.0,84.58,9.9
Taiwan,Asia,雅慕伊咖啡莊園,1250,Chiayi,浦瀚文,Gesha,Washed / Wet,8.08,7.83,7.67,7.67,7.67,7.75,10.0,10.0,10.0,7.92,84.58,11.2
Taiwan,Asia,名陽園,1450,Chiayi,王政淵,SL34,Natural / Dry,7.83,8.0,7.67,7.75,7.67,7.75,10.0,10.0,10.0,7.92,84.58,10.3
Vietnam,Asia,CupnCare,650,Quang Tri,TONG PHUC LAM TRADING SERVICES COMPANY LIMITED,Catimor,Natural / Dry,8.0,7.83,7.75,7.67,7.58,7.83,10.0,10.0,10.0,7.92,84.58,11.6
Costa Rica,North America,La Cumbre,1900,"Los Santos,Tarrazu",Santa Maria de Dota,Gesha,Washed / Wet,7.75,7.83,7.67,7.83,7.75,7.75,10.0,10.0,10.0,7.92,84.5,11.7
Taiwan,Asia,苗55咖啡莊園,520,苗栗縣,李鴻儀,unknown,Pulped natural / honey,7.75,7.92,7.83,7.75,7.75,7.75,10.0,10.0,10.0,7.75,84.5,11.3
Honduras,North America,La Cuchilla,1368,"Centro, Lagunetillas-Ajuterique, Comayagua",Jose Nahum Maldonado,Catuai,Washed / Wet,7.83,7.92,7.75,7.75,7.75,7.75,10.0,10.0,10.0,7.75,84.5,9.8
Ethiopia,Africa,TRACON TRADING PLC,1943,Ethiopia,TRACON TRADING PLC,Ethiopian Heirlooms,Washed / Wet,7.92,7.83,7.75,7.92,7.58,7.67,10.0,10.0,10.0,7.83,84.5,10.9
Taiwan,Asia,917農場 (917 Farm),400,玉里鎮Yuli Township,黃怡瑄 Huang Yi-xuan,Typica,Natural / Dry,8.08,7.92,7.75,7.83,7.5,7.58,10.0,10.0,10.0,7.83,84.5,10.2
Taiwan,Asia,皇庭咖啡莊園,850,Yunlin,陳榮豐,Gesha,Washed / Wet,7.83,8.0,7.5,7.75,7.75,7.75,10.0,10.0,10.0,7.83,84.42,10.1
Guatemala,North America,Finca Alta Luz,1350,Huehuetenango,Maria de los Angeles Perez,Bourbon,Washed / Wet,7.67,7.83,7.75,7.75,7.83,7.75,10.0,10.0,10.0,7.75,84.33,9.2
United States (Hawaii),North America,Miranda's Farm,1300,Ka'u district of Big Island,Jose & Berta Miranda,Catuai,Washed / Wet,7.92,7.83,7.75,7.92,7.5,7.67,10.0,10.0,10.0,7.75,84.33,10.1
Ethiopia,Africa,Bisrat Melaku Washing Station,2361,Addis Ababa,Bisrat Melaku,Ethiopian Heirlooms,Natural / Dry,7.83,7.75,7.58,7.92,8.0,7.5,10.0,10.0,10.0,7.75,84.33,11.0
El Salvador,North America,San Nicolas,1500,Chalatenango,various producers,Pacamara,Pulped natural / honey,7.83,7.83,7.83,7.83,7.67,7.67,10.0,10.0,10.0,7.67,84.33,10.3
Colombia,South America,Asociacion Tayronaca,2100,Sierra Nevada de Santa Marta,Grupo Tap,Castillo and Colombia blend,Washed / Wet,7.75,7.75,7.75,7.75,7.83,7.67,10.0,10.0,10.0,7.83,84.33,11.6
Indonesia,Asia,"Lintong Nihuta/Dolok Sanggul,Sumatera Utara",1300,"Lintong Nihuta/Dolok Sanggul,Sumatera Utara","Lintong Nihuta/Dolok Sanggul,Sumatera Utara","Jember,TIM-TIM,Ateng",Wet Hulling,7.67,7.67,7.83,7.83,7.67,7.75,10.0,10.0,10.0,7.83,84.25,11.5
Guatemala,North America,San jose del lago,1600,Atitlán,"Cafetalera Paquim, S.A.",Typica,Washed / Wet,7.58,7.92,7.67,7.75,7.83,7.75,10.0,10.0,10.0,7.75,84.25,10.0
Madagascar,Africa,Mandroso,1500,Itasy,Marc Dumont,Bourbon,Washed / Wet,7.92,7.92,7.58,7.75,7.58,7.67,10.0,10.0,10.0,7.83,84.25,12.1
Honduras,North America,La Cuchilla,1368,"Centro, Lagunetillas-Ajuterique, Comayagua",Jose Nahum Maldonado,Catuai,Washed / Wet,7.75,7.75,7.58,7.83,7.75,7.75,10.0,10.0,10.0,7.75,84.17,10.2
Guatemala,North America,san francisco cotzal,1600,quiche,san francisco cotzal,Caturra,Washed / Wet,7.58,7.92,7.58,7.83,7.75,7.67,10.0,10.0,10.0,7.75,84.08,11.0
Taiwan,Asia,竹崙子莊園,150,新北市,邱建明,unknown,Pulped natural / honey,7.83,7.92,7.83,7.58,7.58,7.67,10.0,10.0,10.0,7.67,84.08,10.8
Taiwan,Asia,元富咖啡莊園,800,Yunlin,李泓錡,Gesha,Natural / Dry,7.92,7.75,7.67,7.75,7.75,8.0,9.33,10.0,10.0,7.92,84.08,10.6
Guatemala,North America,varias fincas,1550,Oriente Santa rosa,varios productores,Caturra,Washed / Wet,7.67,7.83,7.67,7.83,7.75,7.67,10.0,10.0,10.0,7.67,84.08,11.0
Guatemala,North America,varias fincas,1550,Sierra de las minas,varios productores,Caturra,Washed / Wet,7.67,7.92,7.67,7.75,7.67,7.58,10.0,10.0,10.0,7.75,84.0,11.0
Honduras,North America,finca de la casa,1800,"San Andrés, Lempira",Irma Consuelo Bonilla Hernandez,Typica,Pulped natural / honey,7.75,7.75,7.75,7.67,7.75,7.67,10.0,10.0,10.0,7.67,84.0,9.4
"Tanzania, United Republic Of",Africa,KONGONI ESTATE,1675,ARUSHA,DORMAN (T) LTD,Bourbon,Washed / Wet,7.58,7.67,7.75,7.75,7.75,7.75,10.0,10.0,10.0,7.75,84.0,9.8
Ethiopia,Africa,Ecom Agroindustrial,1800,Sidama,Ecom Agroindustrial,Ethiopian Heirlooms,Washed / Wet,8.0,7.75,7.5,7.67,7.67,7.67,10.0,10.0,10.0,7.75,84.0,11.3
"Tanzania, United Republic Of",Africa,MASHIMA AMCOS,1550,KILIMANJARO,DORMAN,Bourbon,Washed / Wet,7.75,7.58,7.58,7.92,7.67,7.75,10.0,10.0,10.0,7.75,84.0,11.6
Colombia,South America,COO,1550,Huila,Cooperativa Central de Caficultores del Huila,Caturra,Washed / Wet,7.67,7.83,7.58,7.92,7.67,7.67,10.0,10.0,10.0,7.67,84.0,13.3
Costa Rica,North America,Gamboa Farm,1850,Tarrazu,Martin Gutierrez,Caturra,Washed / Wet,7.67,7.92,7.58,7.75,7.67,7.58,10.0,10.0,10.0,7.75,83.92,9.5
Guatemala,North America,El Morito,1900,New Oriente,Various producers,Gesha,Natural / Dry,7.83,7.83,7.58,7.67,7.67,7.58,10.0,10.0,10.0,7.75,83.92,11.9
Guatemala,North America,San jose del lago,1600,Atitlán,"Cafetalera Paquim, S.A.",Bourbon,Washed / Wet,7.58,7.83,7.58,7.75,7.67,7.75,10.0,10.0,10.0,7.75,83.92,10.0
Thailand,Asia,Baan San Charoen,1350,Nan,Phaibul Kitcharoen,Catimor,Natural / Dry,7.75,7.67,7.58,7.75,7.75,7.67,10.0,10.0,10.0,7.75,83.92,11.6
Colombia,South America,,1411,Pereira,RACAFE & CIA SCA,,Washed / Wet,7.67,7.75,7.67,7.75,7.67,7.67,10.0,10.0,10.0,7.67,83.83,11.9
Guatemala,North America,FINCA ALTA LUZ,1400,HUEHUETENANGO,MARIA DE LOS ANGELES PEREZ,"BOURBON, CATURRA Y CATIMOR",Natural / Dry,7.58,7.83,7.67,7.67,7.67,7.67,10.0,10.0,10.0,7.75,83.83,10.8
Ethiopia,Africa,Gerbicho Lela Cooperative,2000,Sidama,Sidama Coffee Farmers Cooperative Union,Ethiopian Heirlooms,Washed / Wet,7.83,7.67,7.5,7.92,7.5,7.67,10.0,10.0,10.0,7.75,83.83,12.0
Colombia,South America,N / A,1700,Cauca,Regional producers,Caturra,Washed / Wet,7.92,7.75,7.42,7.58,7.92,7.67,10.0,10.0,10.0,7.58,83.83,12.1
United States (Hawaii),North America,various farms,500,Ka'u,Isla Custom Coffees,Typica,Washed / Wet,7.67,7.92,7.58,7.58,7.58,7.75,10.0,10.0,10.0,7.75,83.83,11.8
Colombia,South America,La Gallera,1800,Tolima,Oscar Javier Paez & Family,Bourbon Sidra,Pulped natural / honey,7.67,7.92,7.67,7.58,7.67,7.67,10.0,10.0,10.0,7.58,83.75,10.6
Mexico,North America,Finca Custepec,1200,Chiapas,Armando Pohlenz,Sarchimor,Washed / Wet,7.67,7.67,7.58,7.67,7.83,7.58,10.0,10.0,10.0,7.75,83.75,11.7
